wave,w1,w2,w3,w4,w5,w6
380,0.153,0.15,0.138,0.113,0.074,0.032
385,0.189,0.184,0.167,0.131,0.079,0.033
390,0.245,0.235,0.206,0.15,0.084,0.033
395,0.319,0.299,0.249,0.169,0.088,0.034
400,0.409,0.372,0.289,0.183,0.091,0.035
405,0.536,0.459,0.324,0.193,0.093,0.035
410,0.671,0.529,0.346,0.199,0.094,0.036
415,0.772,0.564,0.354,0.201,0.094,0.036
420,0.84,0.58,0.357,0.202,0.094,0.036
425,0.868,0.584,0.358,0.203,0.094,0.036
430,0.878,0.585,0.359,0.203,0.094,0.036
435,0.882,0.587,0.36,0.204,0.095,0.036
440,0.883,0.587,0.361,0.205,0.095,0.035
445,0.885,0.588,0.362,0.205,0.095,0.035
450,0.886,0.588,0.362,0.205,0.095,0.035
455,0.886,0.587,0.361,0.205,0.094,0.035
460,0.887,0.586,0.361,0.204,0.094,0.035
465,0.888,0.585,0.359,0.204,0.094,0.035
470,0.888,0.583,0.358,0.203,0.094,0.035
475,0.888,0.582,0.358,0.203,0.093,0.035
480,0.888,0.581,0.357,0.202,0.093,0.034
485,0.888,0.58,0.356,0.202,0.093,0.034
490,0.888,0.58,0.356,0.202,0.093,0.034
495,0.888,0.58,0.356,0.202,0.092,0.034
500,0.887,0.58,0.356,0.202,0.092,0.034
505,0.887,0.58,0.356,0.202,0.093,0.034
510,0.887,0.58,0.356,0.202,0.093,0.034
515,0.887,0.581,0.356,0.202,0.093,0.034
520,0.887,0.581,0.357,0.202,0.093,0.034
525,0.887,0.582,0.357,0.202,0.093,0.034
530,0.887,0.582,0.357,0.203,0.093,0.034
535,0.887,0.582,0.358,0.203,0.093,0.034
540,0.887,0.583,0.358,0.203,0.093,0.034
545,0.886,0.583,0.358,0.203,0.093,0.034
550,0.886,0.583,0.358,0.203,0.093,0.034
555,0.887,0.584,0.358,0.203,0.092,0.034
560,0.887,0.584,0.359,0.203,0.093,0.033
565,0.887,0.585,0.359,0.203,0.093,0.033
570,0.888,0.586,0.36,0.204,0.093,0.033
575,0.888,0.587,0.361,0.204,0.093,0.033
580,0.887,0.588,0.361,0.205,0.093,0.033
585,0.886,0.588,0.361,0.205,0.093,0.033
590,0.886,0.588,0.361,0.205,0.093,0.033
595,0.886,0.588,0.361,0.205,0.092,0.033
600,0.887,0.588,0.36,0.204,0.092,0.033
605,0.888,0.587,0.36,0.204,0.092,0.033
610,0.889,0.586,0.359,0.204,0.092,0.033
615,0.89,0.586,0.358,0.203,0.091,0.033
620,0.891,0.585,0.357,0.203,0.091,0.033
625,0.891,0.584,0.356,0.202,0.091,0.033
630,0.891,0.583,0.355,0.201,0.09,0.033
635,0.891,0.581,0.354,0.201,0.09,0.033
640,0.89,0.58,0.353,0.2,0.09,0.033
645,0.889,0.579,0.352,0.199,0.09,0.033
650,0.889,0.578,0.351,0.198,0.089,0.033
655,0.889,0.577,0.35,0.198,0.089,0.033
660,0.889,0.576,0.349,0.197,0.089,0.033
665,0.889,0.575,0.348,0.197,0.088,0.033
670,0.888,0.574,0.346,0.196,0.088,0.033
675,0.888,0.573,0.346,0.195,0.088,0.033
680,0.888,0.572,0.345,0.195,0.087,0.033
685,0.888,0.571,0.344,0.194,0.087,0.033
690,0.888,0.57,0.343,0.194,0.087,0.032
695,0.888,0.569,0.342,0.193,0.087,0.032
700,0.888,0.568,0.341,0.192,0.086,0.032
705,0.887,0.567,0.34,0.192,0.086,0.032
710,0.886,0.566,0.339,0.191,0.086,0.032
715,0.886,0.565,0.338,0.191,0.086,0.032
720,0.886,0.564,0.337,0.19,0.085,0.032
725,0.885,0.562,0.336,0.189,0.085,0.032
730,0.885,0.562,0.335,0.189,0.085,0.032
735,0.885,0.56,0.334,0.188,0.085,0.032
740,0.884,0.56,0.333,0.188,0.085,0.032
745,0.884,0.558,0.332,0.187,0.084,0.032
750,0.883,0.557,0.331,0.187,0.084,0.032
755,0.882,0.556,0.33,0.186,0.084,0.032
760,0.882,0.555,0.329,0.185,0.084,0.032
765,0.881,0.554,0.328,0.185,0.084,0.032
770,0.88,0.553,0.327,0.184,0.083,0.032
775,0.88,0.551,0.326,0.184,0.083,0.032
780,0.879,0.55,0.325,0.183,0.083,0.032
